pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
-150,z,7,3,31,3,,,,,89.51873940008227,90.51879610004835,90.51879610004835,90.51879610004835,90.51879610004835,90.51879610004835,91.51859100000001,91.51859100000001,lshift,0,0.5080926000373438,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-50,x,8,0,32,0,,,,,92.05232220003381,93.05157410004176,93.05157410004176,93.05157410004176,93.05157410004176,93.05157410004176,94.0514894000953,94.0514894000953,x,1,0.31468549999408424,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
150,v,8,1,33,1,,,,,94.3848355000373,95.3844465999864,95.3844465999864,95.3844465999864,95.3844465999864,95.3844465999864,96.3848218000494,96.3848218000494,v,1,0.5914603000273928,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
50,c,8,2,34,2,,,,,97.00107090000529,98.00097330007702,98.00097330007702,98.00097330007702,98.00097330007702,98.00097330007702,99.00099199998658,99.00099199998658,c,1,0.3994845999404788,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-150,z,8,3,35,3,,,,,99.41733150009532,100.41708120005205,100.41708120005205,100.41708120005205,100.41708120005205,100.41708120005205,101.417056000093,101.417056000093,lshift,0,0.3879665000131354,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-50,x,9,0,36,0,,,,,101.8345254000742,102.81680090003647,102.81680090003647,102.81680090003647,102.81680090003647,102.85027100006118,103.83376970002428,103.83376970002428,x,1,0.4205735999858007,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
150,v,9,1,37,1,,,,,104.28340399998706,105.26667710009497,105.26667710009497,105.26667710009497,105.26667710009497,105.28352090006229,106.28317040007096,106.28317040007096,v,1,0.3150409000227228,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
50,c,9,2,38,2,,,,,106.6164258000208,107.6163174000103,107.6163174000103,107.6163174000103,107.6163174000103,107.6163174000103,108.6167565000942,108.6167565000942,c,1,0.44713740004226565,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-150,z,9,3,39,3,,,,,109.08321609999985,110.08298649999779,110.08298649999779,110.08298649999779,110.08298649999779,110.08298649999779,111.08291600004304,111.08291600004304,lshift,0,0.33082199993077666,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
-50,x,10,0,40,0,,,,,111.43295660009608,112.4324758000439,112.4324758000439,112.4324758000439,112.4324758000439,112.4324758000439,113.43244020000566,113.43244020000566,x,1,0.3140580999897793,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
150,v,10,1,41,1,,,,,113.76539160008542,114.76583310007118,114.76583310007118,114.76583310007118,114.76583310007118,114.76583310007118,115.76544190000277,115.76544190000277,v,1,0.45141249999869615,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
50,c,10,2,42,2,,,,,116.24868840002455,117.23206940002274,117.23206940002274,117.23206940002274,117.23206940002274,117.24882159999106,118.24878290004563,118.24878290004563,c,1,0.37051260005682707,082991,001,2022-10-07_22h35.06.882,Debolina_Tutorial 4,2022.2.2,60.080880896216605,
